"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","parents_str"
"query_1",TRUE,0.000246341053754466,9,48,5,0.104166666666667,0.555555555555556,"GO:0021904","GO:BP","dorsal/ventral neural tube patterning",2891,6468,"IDA IMP IGI,IMP,IGI,IGI,IMP","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318,ENSMUSG00000021466","GO:0009953,GO:0021532"
"query_1",TRUE,0.00149148396019976,12,48,5,0.104166666666667,0.416666666666667,"GO:0021532","GO:BP","neural tube patterning",2891,6116,"IDA IMP IGI,IMP,IGI,IGI,IMP ISO","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318,ENSMUSG00000021466","GO:0003002,GO:0021915"
"query_1",TRUE,0.00186886459570108,22,48,6,0.125,0.272727272727273,"GO:0001708","GO:BP","cell fate specification",2891,400,"IGI,IMP,IMP,IGI,IGI,IGI","ENSMUSG00000048402,ENSMUSG00000028565,ENSMUSG00000001761,ENSMUSG00000031565,ENSMUSG00000021318,ENSMUSG00000021466","GO:0045165,GO:0048869"
"query_1",TRUE,0.026310793558354,10,48,4,0.0833333333333333,0.4,"GO:0021511","GO:BP","spinal cord patterning",2891,6095,"IMP IGI,IMP,IMP,IGI","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318","GO:0003002,GO:0021510"
"query_1",TRUE,0.026310793558354,10,48,4,0.0833333333333333,0.4,"GO:0021513","GO:BP","spinal cord dorsal/ventral patterning",2891,6097,"IMP IGI,IMP,IMP,IGI","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318","GO:0009953,GO:0021511"
"query_1",TRUE,0.0296273688815772,144,48,11,0.229166666666667,0.0763888888888889,"GO:0007507","GO:BP","heart development",2891,2993,"IGI,IMP,IMP,IMP IGI,IMP,IGI ISO TAS,ISO,IMP,IGI,IMP,IMP IGI TAS","ENSMUSG00000048402,ENSMUSG00000028576,ENSMUSG00000001847,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000031565,ENSMUSG00000037852,ENSMUSG00000039952,ENSMUSG00000021318,ENSMUSG00000021466,ENSMUSG00000024620","GO:0048513,GO:0072359"
"query_1",TRUE,0.0339143461445676,52,48,7,0.145833333333333,0.134615384615385,"GO:0001763","GO:BP","morphogenesis of a branching structure",2891,429,"IMP,IMP,IDA IMP,ISO,IMP,IMP IGI,IMP","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000031565,ENSMUSG00000037852,ENSMUSG00000039952,ENSMUSG00000021318,ENSMUSG00000021466","GO:0009653,GO:0032501"
"query_1",TRUE,0.000672491302611869,16,48,5,0.104166666666667,0.3125,"KEGG:05230","KEGG","Central carbon metabolism in cancer",2891,478,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000027852,ENSMUSG00000028645,ENSMUSG00000054252,ENSMUSG00000031565,ENSMUSG00000024620","KEGG:00000"
"query_1",TRUE,0.000805449867339554,128,48,11,0.229166666666667,0.0859375,"KEGG:05200","KEGG","Pathways in cancer",2891,453,"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000048402,ENSMUSG00000027852,ENSMUSG00000028645,ENSMUSG00000054252,ENSMUSG00000001847,ENSMUSG00000001761,ENSMUSG00000031565,ENSMUSG00000021318,ENSMUSG00000021466,ENSMUSG00000021756,ENSMUSG00000024620","KEGG:00000"
"query_1",TRUE,0.0138248719254278,15,48,4,0.0833333333333333,0.266666666666667,"KEGG:04340","KEGG","Hedgehog signaling pathway",2891,302,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000021318,ENSMUSG00000021466","KEGG:00000"
