"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","parents_str"
"query_1",TRUE,1.70131849426962e-05,7,39,5,0.128205128205128,0.714285714285714,"GO:0021904","GO:BP","dorsal/ventral neural tube patterning",2742,6468,"IDA IMP IGI,IMP,IGI,IGI,IMP","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318,ENSMUSG00000021466","GO:0009953,GO:0021532"
"query_1",TRUE,0.000197883072864124,10,39,5,0.128205128205128,0.5,"GO:0021532","GO:BP","neural tube patterning",2742,6116,"IDA IMP IGI,IMP,IGI,IGI,IMP ISO","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318,ENSMUSG00000021466","GO:0003002,GO:0021915"
"query_1",TRUE,0.0019214148792835,26,39,6,0.153846153846154,0.230769230769231,"GO:0001708","GO:BP","cell fate specification",2742,400,"IGI,IMP,IMP,IGI,IGI,IGI","ENSMUSG00000048402,ENSMUSG00000028565,ENSMUSG00000001761,ENSMUSG00000031565,ENSMUSG00000021318,ENSMUSG00000021466","GO:0045165,GO:0048869"
"query_1",TRUE,0.00248935693813606,61,39,8,0.205128205128205,0.131147540983607,"GO:0072001","GO:BP","renal system development",2742,17037,"IGI,IMP,IMP,IGI,IGI,IMP IGI,IMP,IMP IGI IEP ISO","ENSMUSG00000048402,ENSMUSG00000028565,ENSMUSG00000001761,ENSMUSG00000031565,ENSMUSG00000021318,ENSMUSG00000021466,ENSMUSG00000011179,ENSMUSG00000024620","GO:0048731"
"query_1",TRUE,0.0121908890550764,344,39,16,0.41025641025641,0.0465116279069767,"GO:0009888","GO:BP","tissue development",2742,3748,"IDA IMP IGI ISO,IMP,IMP,IMP,ISO,IMP IGI ISO,IMP ISS ISO,IMP IGI,IDA IMP IGI ISO,IMP,IMP ISO IBA,IMP IGI,IDA IMP IGI ISO,IDA ISO,IMP,IMP IGI IEP","ENSMUSG00000048402,ENSMUSG00000028413,ENSMUSG00000028576,ENSMUSG00000028565,ENSMUSG00000019055,ENSMUSG00000001761,ENSMUSG00000029687,ENSMUSG00000030323,ENSMUSG00000031565,ENSMUSG00000023345,ENSMUSG00000039952,ENSMUSG00000021318,ENSMUSG00000021466,ENSMUSG00000021756,ENSMUSG00000024507,ENSMUSG00000024620","GO:0048856"
"query_1",TRUE,0.0127765412404655,10,39,4,0.102564102564103,0.4,"GO:0021513","GO:BP","spinal cord dorsal/ventral patterning",2742,6097,"IMP IGI,IMP,IMP,IGI","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318","GO:0009953,GO:0021511"
"query_1",TRUE,0.0127765412404655,10,39,4,0.102564102564103,0.4,"GO:0021511","GO:BP","spinal cord patterning",2742,6095,"IMP IGI,IMP,IMP,IGI","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318","GO:0003002,GO:0021510"
"query_1",TRUE,0.0142506622759737,21,39,5,0.128205128205128,0.238095238095238,"GO:0021510","GO:BP","spinal cord development",2742,6094,"IMP IGI,IMP,IMP,IGI,IGI","ENSMUSG00000048402,ENSMUSG00000001761,ENSMUSG00000030323,ENSMUSG00000021318,ENSMUSG00000021466","GO:0007417,GO:0048856"
"query_1",TRUE,0.0194992287592423,4,39,3,0.0769230769230769,0.75,"GO:0060831","GO:BP","smoothened signaling pathway involved in dorsal/ventral neural tube patterning",2742,14978,"IGI,IGI,IGI","ENSMUSG00000048402,ENSMUSG00000030323,ENSMUSG00000021318","GO:0007224,GO:0021904"
"query_1",TRUE,0.0237798816298269,39,39,6,0.153846153846154,0.153846153846154,"GO:0035107","GO:BP","appendage morphogenesis",2742,8811,"IMP,IMP,IMP,IMP,IMP IGI ISO,IMP IGI ISO","ENSMUSG00000048402,ENSMUSG00000028565,ENSMUSG00000030323,ENSMUSG00000031565,ENSMUSG00000021318,ENSMUSG00000021466","GO:0009653,GO:0048736"
