"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","parents_str"
"query_1",TRUE,0.00178995806650555,13,38,5,0.131578947368421,0.384615384615385,"GO:0030316","GO:BP","osteoclast differentiation",2303,6767,"IMP ISO,IMP,ISS ISO,IDA,IGI","ENSMUSG00000028086,ENSMUSG00000038301,ENSMUSG00000030067,ENSMUSG00000001911,ENSMUSG00000041417","GO:0002573"
"query_1",TRUE,0.00503580628714785,59,38,8,0.210526315789474,0.135593220338983,"GO:0001501","GO:BP","skeletal system development",2303,318,"IMP,IMP ISO,IMP,ISS ISO,IMP,IMP,IMP,IMP","ENSMUSG00000038331,ENSMUSG00000028086,ENSMUSG00000038301,ENSMUSG00000030067,ENSMUSG00000037664,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000024639","GO:0048731"
"query_1",TRUE,0.00721787566797633,407,38,19,0.5,0.0466830466830467,"GO:0009653","GO:BP","anatomical structure morphogenesis",2303,3571,"IBA,IMP,IMP,IMP ISO,IMP,IDA IMP IGI ISO,ISO TAS,IMP,IDA IMP IGI IBA,IMP ISO,IMP,IMP,IMP,IMP ISS ISO,ISS ISO IBA,IDA IMP,ISS ISO IBA,IMP,IGI","ENSMUSG00000042807,ENSMUSG00000038331,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000029071,ENSMUSG00000029168,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000037664,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000008859,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000022263,ENSMUSG00000023991,ENSMUSG00000024639","GO:0032502,GO:0048856"
"query_1",TRUE,0.0257021755338751,21,38,5,0.131578947368421,0.238095238095238,"GO:0050821","GO:BP","protein stabilization",2303,13283,"ISS ISO,IMP,IGI,ISS ISO,ISO","ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000029071,ENSMUSG00000041417,ENSMUSG00000024639","GO:0031647"
"query_1",TRUE,0.00165595152336236,69,38,8,0.210526315789474,0.115942028985507,"KEGG:05200","KEGG","Pathways in cancer",2303,453,"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000057614,ENSMUSG00000020135,ENSMUSG00000008859,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000024639","KEGG:00000"
"query_1",TRUE,0.00931244928346257,27,38,5,0.131578947368421,0.185185185185185,"KEGG:04915","KEGG","Estrogen signaling pathway",2303,372,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000039809,ENSMUSG00000057614,ENSMUSG00000041417,ENSMUSG00000024639","KEGG:00000"
"query_1",TRUE,0.0207289931778755,17,38,4,0.105263157894737,0.235294117647059,"KEGG:05224","KEGG","Breast cancer",2303,475,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417","KEGG:00000"
"query_1",TRUE,0.0207289931778755,17,38,4,0.105263157894737,0.235294117647059,"KEGG:05226","KEGG","Gastric cancer",2303,477,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417","KEGG:00000"
"query_1",TRUE,0.026336853207265,18,38,4,0.105263157894737,0.222222222222222,"KEGG:05210","KEGG","Colorectal cancer",2303,461,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000020135,ENSMUSG00000008859,ENSMUSG00000041417","KEGG:00000"
"query_1",TRUE,0.0329661536498852,19,38,4,0.105263157894737,0.210526315789474,"KEGG:04550","KEGG","Signaling pathways regulating pluripotency of stem cells",2303,319,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417","KEGG:00000"
"query_1",TRUE,0.0329661536498852,19,38,4,0.105263157894737,0.210526315789474,"KEGG:05142","KEGG","Chagas disease",2303,434,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000057614,ENSMUSG00000041417,ENSMUSG00000024639","KEGG:00000"
