"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","parents_str"
"query_1",TRUE,0.000221152451258985,471,42,21,0.5,0.0445859872611465,"GO:0048513","GO:BP","animal organ development",3082,12798,"IMP,IMP,IMP,IMP ISO,ISO,IMP,IMP IGI,IMP,IDA IGI,IMP IGI ISS ISO,IMP,IMP IGI,IMP,IMP,IDA IMP,ISS ISO IBA,IDA IMP,ISS ISO,IMP IGI,IMP,IMP IGI ISO","ENSMUSG00000038331,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000034926,ENSMUSG00000029071,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037664,ENSMUSG00000037251,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024639,ENSMUSG00000013663","GO:0048856"
"query_1",TRUE,0.000480495002906174,492,42,21,0.5,0.0426829268292683,"GO:0009653","GO:BP","anatomical structure morphogenesis",3082,3571,"IBA,IMP,IMP,IMP ISO,IMP,IDA IMP IGI ISO,ISO TAS,IMP,IDA IMP IGI IBA,IMP ISO,IMP,IMP,IMP,IMP,IMP ISS ISO,ISS ISO IBA,IDA IMP,IMP,IMP,IGI,IMP ISO","ENSMUSG00000042807,ENSMUSG00000038331,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000029071,ENSMUSG00000029168,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037664,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000008859,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024639,ENSMUSG00000013663","GO:0032502,GO:0048856"
"query_1",TRUE,0.000703888407971206,286,42,16,0.380952380952381,0.0559440559440559,"GO:0009888","GO:BP","tissue development",3082,3748,"IMP,IMP ISS ISO,IMP IGI,IMP,IDA,IMP IGI ISO,IMP IGI,IGI,IMP,IMP,IMP,IBA,IDA IMP,ISS ISO,IGI,IMP IGI ISO","ENSMUSG00000038331,ENSMUSG00000034926,ENSMUSG00000029071,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037664,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000008859,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000013663","GO:0048856"
"query_1",TRUE,0.00175971040819739,60,42,8,0.19047619047619,0.133333333333333,"GO:0001501","GO:BP","skeletal system development",3082,318,"IMP,IMP ISO,IMP,ISS ISO,IMP,IMP,IMP,IMP","ENSMUSG00000038331,ENSMUSG00000028086,ENSMUSG00000038301,ENSMUSG00000030067,ENSMUSG00000037664,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000024639","GO:0048731"
"query_1",TRUE,0.00247443580744207,138,42,11,0.261904761904762,0.0797101449275362,"GO:0009887","GO:BP","animal organ morphogenesis",3082,3747,"IMP,IMP,IGI,IMP,IDA,IMP,IMP,IMP,ISS ISO IBA,IDA IMP,IMP","ENSMUSG00000038331,ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030323,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000013663","GO:0009653,GO:0048513"
"query_1",TRUE,0.00325754442747023,29,42,6,0.142857142857143,0.206896551724138,"GO:0050821","GO:BP","protein stabilization",3082,13283,"ISS ISO,IMP,IGI,ISS ISO,ISO,ISO","ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000029071,ENSMUSG00000041417,ENSMUSG00000024639,ENSMUSG00000013663","GO:0031647"
"query_1",TRUE,0.00439362670862278,779,42,25,0.595238095238095,0.0320924261874198,"GO:0048731","GO:BP","system development",3082,12988,"IBA,IMP,IMP ISS,IMP ISO,IMP ISO,ISO,IMP,IDA IMP IGI ISO,ISO TAS,IMP,IDA IMP IGI IBA,IMP IGI IEP ISS ISO,IMP IGI,IMP IGI,IMP,IMP,IDA IMP,IBA,IMP,ISO,IDA ISS ISO,IMP ISS ISO,IMP IGI,IMP,IMP IGI ISO","ENSMUSG00000042807,ENSMUSG00000038331,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000034926,ENSMUSG00000029071,ENSMUSG00000029168,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037664,ENSMUSG00000037251,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000032479,ENSMUSG00000008859,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024639,ENSMUSG00000013663","GO:0007275,GO:0048856"
"query_1",TRUE,0.00535929127648162,847,42,26,0.619047619047619,0.0306965761511216,"GO:0007275","GO:BP","multicellular organism development",3082,2802,"IBA,IMP,IMP ISS,IMP ISO,IMP ISO,ISO,IMP,IDA IMP IGI ISO,ISO TAS,IMP,IDA IMP IGI IBA,IMP IGI IEP ISS ISO,IMP IGI,IMP IGI,IMP,IMP,IDA IMP,IBA,IMP,IGI ISO,IDA IMP ISS ISO,IMP,IMP ISS ISO,IMP IGI,IMP IGI,IMP IGI ISO","ENSMUSG00000042807,ENSMUSG00000038331,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000034926,ENSMUSG00000029071,ENSMUSG00000029168,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037664,ENSMUSG00000037251,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000032479,ENSMUSG00000008859,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000022265,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024639,ENSMUSG00000013663","GO:0032501,GO:0048856"
"query_1",TRUE,0.0159610364858904,22,42,5,0.119047619047619,0.227272727272727,"GO:0030316","GO:BP","osteoclast differentiation",3082,6767,"IMP ISO,IMP,ISS ISO,IDA,IGI","ENSMUSG00000028086,ENSMUSG00000038301,ENSMUSG00000030067,ENSMUSG00000001911,ENSMUSG00000041417","GO:0002573"
"query_1",TRUE,0.0416022973620927,44,42,6,0.142857142857143,0.136363636363636,"GO:0031647","GO:BP","regulation of protein stability",3082,7257,"IDA ISS ISO,IMP IC,IGI,ISS ISO,ISO,ISS ISO","ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000029071,ENSMUSG00000041417,ENSMUSG00000024639,ENSMUSG00000013663","GO:0065008"
"query_1",TRUE,0.0439095179124985,151,42,10,0.238095238095238,0.0662251655629139,"GO:0072359","GO:BP","circulatory system development",3082,17370,"IMP ISO,IMP,ISO,IGI,IMP IGI ISO,IMP,IMP,IMP,IMP,IMP IGI ISO","ENSMUSG00000019699,ENSMUSG00000028086,ENSMUSG00000032826,ENSMUSG00000029071,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000001911,ENSMUSG00000023991,ENSMUSG00000024639,ENSMUSG00000013663","GO:0048731"
"query_1",TRUE,0.0487198624972171,187,42,11,0.261904761904762,0.0588235294117647,"GO:0007417","GO:BP","central nervous system development",3082,2912,"IMP,IMP,IGI,IEP,IMP,IMP,IDA IMP,ISO,IMP,IMP,IMP","ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000030323,ENSMUSG00000037251,ENSMUSG00000001911,ENSMUSG00000002900,ENSMUSG00000037646,ENSMUSG00000024639,ENSMUSG00000013663","GO:0007399,GO:0048731"
"query_1",TRUE,0.000860126800548452,100,42,9,0.214285714285714,0.09,"KEGG:05200","KEGG","Pathways in cancer",3082,453,"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000057614,ENSMUSG00000020135,ENSMUSG00000008859,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000024639,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.00218480994876026,24,42,5,0.119047619047619,0.208333333333333,"KEGG:05224","KEGG","Breast cancer",3082,475,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.00617036444499246,15,42,4,0.0952380952380952,0.266666666666667,"KEGG:05222","KEGG","Small cell lung cancer",3082,473,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.00689581182770721,30,42,5,0.119047619047619,0.166666666666667,"KEGG:04611","KEGG","Platelet activation",3082,321,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000057614,ENSMUSG00000014956,ENSMUSG00000041417,ENSMUSG00000024639","KEGG:00000"
"query_1",TRUE,0.0134273859986153,18,42,4,0.0952380952380952,0.222222222222222,"KEGG:05213","KEGG","Endometrial cancer",3082,464,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000020135,ENSMUSG00000041417,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.0149378392953235,35,42,5,0.119047619047619,0.142857142857143,"KEGG:04071","KEGG","Sphingolipid signaling pathway",3082,260,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000057614,ENSMUSG00000041417,ENSMUSG00000024639,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.0149378392953235,35,42,5,0.119047619047619,0.142857142857143,"KEGG:05225","KEGG","Hepatocellular carcinoma",3082,476,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.0196579908221258,37,42,5,0.119047619047619,0.135135135135135,"KEGG:04915","KEGG","Estrogen signaling pathway",3082,372,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000039809,ENSMUSG00000057614,ENSMUSG00000041417,ENSMUSG00000024639","KEGG:00000"
"query_1",TRUE,0.0197453238299402,59,42,6,0.142857142857143,0.101694915254237,"KEGG:05165","KEGG","Human papillomavirus infection",3082,446,"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.0408677586724988,43,42,5,0.119047619047619,0.116279069767442,"KEGG:04510","KEGG","Focal adhesion",3082,313,"KEGG,KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000014956,ENSMUSG00000041417,ENSMUSG00000002900,ENSMUSG00000013663","KEGG:00000"
"query_1",TRUE,0.0439382584977703,24,42,4,0.0952380952380952,0.166666666666667,"KEGG:04550","KEGG","Signaling pathways regulating pluripotency of stem cells",3082,319,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417","KEGG:00000"
"query_1",TRUE,0.0439382584977703,24,42,4,0.0952380952380952,0.166666666666667,"KEGG:05142","KEGG","Chagas disease",3082,434,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000057614,ENSMUSG00000041417,ENSMUSG00000024639","KEGG:00000"
"query_1",TRUE,0.0439382584977703,24,42,4,0.0952380952380952,0.166666666666667,"KEGG:05226","KEGG","Gastric cancer",3082,477,"KEGG,KEGG,KEGG,KEGG","ENSMUSG00000019699,ENSMUSG00000029071,ENSMUSG00000020135,ENSMUSG00000041417","KEGG:00000"
