"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","parents_str"
"query_1",TRUE,0.00010877881206931,473,43,23,0.534883720930233,0.0486257928118393,"GO:0009653","GO:BP","anatomical structure morphogenesis",2772,3571,"IBA,IMP,IMP ISO,IMP,IMP,IMP IGI,IMP ISO,ISO TAS,IMP,IMP,IDA IMP IGI IBA,IMP ISO,IMP,IMP,IDA IMP IGI ISO TAS,IMP ISS ISO,IMP,ISS ISO IBA,IMP,IMP,IMP,IGI,IMP ISO","ENSMUSG00000042807,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000036940,ENSMUSG00000028991,ENSMUSG00000029168,ENSMUSG00000029673,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000008859,ENSMUSG00000021665,ENSMUSG00000022263,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024241,ENSMUSG00000024639,ENSMUSG00000013663","GO:0032502,GO:0048856"
"query_1",TRUE,0.000211546103334105,9,43,5,0.116279069767442,0.555555555555556,"GO:0048854","GO:BP","brain morphogenesis",2772,13098,"IMP,IMP,IMP,IMP,IMP","ENSMUSG00000019699,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000024241,ENSMUSG00000013663","GO:0007420,GO:0009887"
"query_1",TRUE,0.000688322806185327,63,43,9,0.209302325581395,0.142857142857143,"GO:0001501","GO:BP","skeletal system development",2772,318,"IMP,IMP,IMP,ISS ISO,IMP,IMP,IDA IMP ISO,IGI,IMP","ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000038301,ENSMUSG00000030067,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000021665,ENSMUSG00000024639","GO:0048731"
"query_1",TRUE,0.00422116636008617,7,43,4,0.0930232558139535,0.571428571428571,"GO:0002011","GO:BP","morphogenesis of an epithelial sheet",2772,614,"ISO,IGI,IMP,ISO","ENSMUSG00000028991,ENSMUSG00000021994,ENSMUSG00000024241,ENSMUSG00000013663","GO:0002009"
"query_1",TRUE,0.00493878381495956,728,43,26,0.604651162790698,0.0357142857142857,"GO:0048731","GO:BP","system development",2772,12988,"IBA,IMP ISS,IMP ISO,ISO,ISO,IMP ISO,IMP,IDA IMP IGI ISO,IMP ISO,ISO TAS,IMP,IMP,IDA IMP IGI IBA,IMP IGI IEP ISS ISO,IMP,IDA IMP,IDA IMP IGI ISO IBA TAS,IBA,IMP,IMP IGI,ISS ISO IBA,IMP ISS ISO,IMP IGI,IMP IGI,IMP,IMP IGI ISO","ENSMUSG00000042807,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000036792,ENSMUSG00000032826,ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000036940,ENSMUSG00000028991,ENSMUSG00000029168,ENSMUSG00000029673,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000032479,ENSMUSG00000008859,ENSMUSG00000021665,ENSMUSG00000022263,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024241,ENSMUSG00000024639,ENSMUSG00000013663","GO:0007275,GO:0048856"
"query_1",TRUE,0.00528604320731733,784,43,27,0.627906976744186,0.0344387755102041,"GO:0007275","GO:BP","multicellular organism development",2772,2802,"IBA,IMP ISS,IMP ISO,ISO,IMP,ISO,IMP ISO,IMP,IDA IMP IGI ISO,IDA IMP ISO,ISO TAS,IMP,IMP,IDA IMP IGI IBA,IMP IGI IEP ISS ISO,IMP,IDA IMP,IDA IMP IGI ISO IBA TAS,IBA,IMP,IMP IGI,ISS ISO IBA,IMP ISS ISO,IMP IGI,IMP IGI,IMP IGI,IMP IGI ISO","ENSMUSG00000042807,ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000036792,ENSMUSG00000039234,ENSMUSG00000032826,ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000036940,ENSMUSG00000028991,ENSMUSG00000029168,ENSMUSG00000029673,ENSMUSG00000038301,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000036356,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000032479,ENSMUSG00000008859,ENSMUSG00000021665,ENSMUSG00000022263,ENSMUSG00000037646,ENSMUSG00000023991,ENSMUSG00000024241,ENSMUSG00000024639,ENSMUSG00000013663","GO:0032501,GO:0048856"
"query_1",TRUE,0.00844712909231521,84,43,9,0.209302325581395,0.107142857142857,"GO:0007507","GO:BP","heart development",2772,2993,"ISO,IMP ISO,IMP IGI ISO,IMP,IGI,IMP,IMP,IMP,IMP IGI ISO","ENSMUSG00000032826,ENSMUSG00000028991,ENSMUSG00000030067,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000023991,ENSMUSG00000024241,ENSMUSG00000024639,ENSMUSG00000013663","GO:0048513,GO:0072359"
"query_1",TRUE,0.00863761532849705,3,43,3,0.0697674418604651,1,"GO:0021780","GO:BP","glial cell fate specification",2772,6358,"IMP,IMP,IMP","ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000001911","GO:0001708,GO:0021781"
"query_1",TRUE,0.00962973547657503,195,43,13,0.302325581395349,0.0666666666666667,"GO:0007417","GO:BP","central nervous system development",2772,2912,"IMP,IMP,IMP ISO,IMP,IMP ISO,IGI,IEP,IDA IMP,IDA IMP IGI,IMP,IMP,IMP,IMP","ENSMUSG00000026425,ENSMUSG00000019699,ENSMUSG00000008575,ENSMUSG00000036940,ENSMUSG00000028991,ENSMUSG00000030084,ENSMUSG00000030067,ENSMUSG00000001911,ENSMUSG00000021994,ENSMUSG00000037646,ENSMUSG00000024241,ENSMUSG00000024639,ENSMUSG00000013663","GO:0007399,GO:0048731"
"query_1",TRUE,0.0196021044136697,70,43,8,0.186046511627907,0.114285714285714,"GO:0042063","GO:BP","gliogenesis",2772,9949,"IMP,IMP,IMP,IMP ISO,IDA IMP,IMP,IMP,IMP","ENSMUSG00000026425,ENSMUSG00000008575,ENSMUSG00000028565,ENSMUSG00000028991,ENSMUSG00000001911,ENSMUSG00000021665,ENSMUSG00000024241,ENSMUSG00000013663","GO:0022008"
