"","ensembl_id","gene_name"
"1","ENSMUSG00000051951","Xkr4"
"2","ENSMUSG00000025900","Rp1"
"3","ENSMUSG00000025902","Sox17"
"4","ENSMUSG00000033845","Mrpl15"
"5","ENSMUSG00000025903","Lypla1"
"6","ENSMUSG00000104217","Gm37988"
"7","ENSMUSG00000033813","Tcea1"
"8","ENSMUSG00000002459","Rgs20"
"9","ENSMUSG00000033793","Atp6v1h"
"10","ENSMUSG00000025905","Oprk1"
"11","ENSMUSG00000033774","Npbwr1"
"12","ENSMUSG00000025907","Rb1cc1"
"13","ENSMUSG00000087247","Fam150a"
"14","ENSMUSG00000033740","St18"
"15","ENSMUSG00000051285","Pcmtd1"
"16","ENSMUSG00000025909","Sntg1"
"17","ENSMUSG00000061024","Rrs1"
"18","ENSMUSG00000025911","Adhfe1"
"19","ENSMUSG00000067879","3110035E14Rik"
"20","ENSMUSG00000025912","Mybl1"
"21","ENSMUSG00000045210","Vcpip1"
"22","ENSMUSG00000025915","Sgk3"
"23","ENSMUSG00000046101","Mcmdc2"
"24","ENSMUSG00000099032","Tcf24"
"25","ENSMUSG00000025916","Ppp1r42"
"26","ENSMUSG00000025917","Cops5"
"27","ENSMUSG00000056763","Cspp1"
"28","ENSMUSG00000067851","Arfgef1"
"29","ENSMUSG00000042501","Cpa6"
"30","ENSMUSG00000048960","Prex2"
"31","ENSMUSG00000057715","A830018L16Rik"
"32","ENSMUSG00000016918","Sulf1"
"33","ENSMUSG00000025938","Slco5a1"
"34","ENSMUSG00000042414","Prdm14"
"35","ENSMUSG00000005886","Ncoa2"
"36","ENSMUSG00000025935","Tram1"
"37","ENSMUSG00000025937","Lactb2"
"38","ENSMUSG00000067813","Xkr9"
"39","ENSMUSG00000025932","Eya1"
"40","ENSMUSG00000025930","Msc"
"41","ENSMUSG00000032769","Trpa1"
"42","ENSMUSG00000092083","Kcnb2"
"43","ENSMUSG00000025925","Terf1"
"44","ENSMUSG00000032719","Sbspon"
"45","ENSMUSG00000067795","4930444P10Rik"
"46","ENSMUSG00000043716","Rpl7"
"47","ENSMUSG00000025921","Rdh10"
"48","ENSMUSG00000025920","Stau2"
"49","ENSMUSG00000025939","Ube2w"
"50","ENSMUSG00000079658","Tceb1"
"51","ENSMUSG00000025940","Tmem70"
"52","ENSMUSG00000025779","Ly96"
"53","ENSMUSG00000042686","Jph1"
